Ksiazki Wiliama Shakespearea
Ksiazka: ksiazki/tymon-atenczyk.txt
Calkowitka ilosc wyrazow = 1702
Statystyka dlugosci zdań:
27 słów 1.5625%
35 słów 1.5625%
60 słów 1.5625%
Ksiazka: ksiazki/satyry-czesc-druga-medrek.txt
Calkowitka ilosc wyrazow = 84
Statystyka dlugosci zdań:
1 słów 4.7619047%
2 słów 14.285715%
3 słów 7.1428576%
4 słów 7.1428576%
5 słów 7.1428576%
6 słów 2.3809524%
70 słów 1.1904762%
8 słów 4.7619047%
9 słów 1.1904762%
10 słów 4.7619047%
11 słów 1.1904762%
12 słów 4.7619047%
13 słów 4.7619047%
14 słów 5.952381%
15 słów 3.5714288%
16 słów 1.1904762%
17 słów 2.3809524%
18 słów 2.3809524%
19 słów 1.1904762%
20 słów 2.3809524%
21 słów 4.7619047%
22 słów 1.1904762%
23 słów 3.5714288%
24 słów 1.1904762%
25 słów 1.1904762%
27 słów 1.1904762%
31 słów 1.1904762%
34 słów 1.1904762%

